GXT Editor 1.2 Section
32
MAIN
10769

843AFC84  Chyba èítania DVD
423E2E54  Krv v oèiach
4E0F45F6  ¼ahká jazda
5EE9E7AB  Slnko nad Jamajkou
EC9382FC  Strıko Vlad
86E637A3  Americkı sen
93A0D118  Zakladanie úètu
3C09578B  Exotické exporty
29D2B31E  Romanov smútok
67E52F4A  Jednanie s nepriate¾om
54A388C7  Víkend s Florianom
FC7E5876  Niekto vınimoènı
E33B25F0  Bordel v èínskom obchode
18D01119  Vymıka a usuši
0D89FA8D  Èistı útek
C9D47327  Ivan nie a tak Hroznı
BE965CAB  Betónová dung¾a
84E6E13D  V tieni
7B5FCE2F  Navysoko
30B5B8D8  Zloèin a trest
16DB8524  Kto nás ochráni?
C42BDFC6  Koneèná zastávka
B2733C55  Láska hory prenáša
5F4C9609  Pripravenı na odpal
CD9FF2AE  Majster a molotov
E5E9A31D  Ruská revolúcia
F7EE4726  Escuela z ulice
ECBCB203  Èistenie ulíc
0893E9B1  Portorické konexie
513FFB08  Írske šastie
E3019E8D  Zhoï masku
95BD0409  Snená búrka
B1AC3BE7  Maj srdce
FA3A4D02  Svojrázny šofér
041060AE  Najskôr vyzliec, potom zabi
689429B8  Nájdi a eliminuj
7A46CD1D  Úplná malièkos
14157904  Vylez z ulity...
0690DDFB  ...vylez z ulity
2FBB304F  Jednotka
21C1945C  Preteky
0D926BFA  Pálenie foákom
FF3FCF55  Demolovanie pre zaèiatoèníkov
28FE22D1  ...holandská hra
1AB2863A  Priate¾skı telefonát
545BF98C  Posledné interview...
46075CE3  ...posledné interview
C92F645D  Holandské noci
BBE149C1  Lákanie
04715ADC  Pokrvní bratia
F637BE69  Pohrebná sluba
20CF1397  Kde je pravda?
128C7712  Portrét vraha
3C9CCB32  Neutralizácia
2D2F2C57  Listová stopa
37C24181  Závis v prístave
2993A524  Škoda odpadu
F4F0C5A3  Trojlístok
06BBE939  Vo¾nı pád
D1CFFF62  Prehrabávanie odpadkov
A227A012  Tavenie
70123BE8  Vıstavnı kúsok
C2105FE3  Nekoneèné metro
88C46D4C  Neskoré zistenie
5D9216E8  Èiny hovoria viac ne slová
189C8D02  Vezmem si tvoje šaty, tvoje topánky a tvoju motorku
470C69E1  Skúšobná jazda...
0F41FB71  ...skúšobná jazda
01075EFC  Pokojná preprava
EB9E342A  Diamant, najlepší priate¾ ien
DD5C97A7  Stopovanie
B8804DE3  Opatrovanie
D9B79051  Tunel smrti
94AA8638  Protivní protivníci
C6ECEABC  Smer Union Drive
817CDFDD  Ahojky, bójky
A2BC225B  Chy si vlnu
9D248F60  Prvotriedny zabijak
FEEF52F0  Preš¾ap
10ADF66D  Prepad dodávky
E23E998F  ivot za Alderney
521E7929  Pegorinova hrdos
2051158F  Odplata
2E92B212  Blízko smrti
8D276F3E  ...hubenie škodcov
09146716  Sprievod
D7B98461  Jedlo vonku
83DBDDDB  Likvidovanie poh¾adávok
91997956  Za správnu cenu
1F5D94DC  Studenı chod
30903741  Pán a pani Bellicovci
AEE3B3EA  Bez komisie
BC1CCE5C  Pomstite¾ská tragédia
CA3A6A97  Prvé rande
984A8FE0  Bratranec Be...
C8EAE94C  Hovor pre teba
ED01326C  Správna trojica
731136C6  Krv v oèiach
5BE1098E  ¼ahká jazda
917D7EF2  Slnko nad Ja...
DB8913FC  Strıko Vlad
7382BC0D  Americkı sen
F273BB25  Zakladanie úètu
CE5C048F  Exotické exp...
BC76E225  Romanov smútok
C2C3EB13  Jednanie s n...
3843D725  Víkend s Flo...
0473EC2E  Niekto vınim...
2D193EE0  Bordel v èín...
0C307967  Vymıka a u...
DF5920F5  Èistı útek
EAE8C6E0  Ivan nie a...
2BD94A2C  Betónová du...
D8F94AED  V tieni
853BA257  Navysoko
17A44596  Zloèin a trest
7E1111C2  Kto nás ochr...
2A63E8E5  Koneèná zastávka
9F255116  Láska hory p...
B4F8FBC1  Pripravenı n...
B467795A  Majster a mo...
6AE752CF  Ruská revolúcia
4234808E  Escuela z ulice
6E5E9C50  Èistenie ulíc
64040227  Portorické k...
029F427F  Írske šastie
90FA62AB  Zhoï masku
89DD60AD  Snená búrka
03874F0F  Maj srdce
8F85E9BE  Svojrázny šofér
674F9CB2  Najskôr vyzl...
200A8945  Nájdi a elim...
5DA67EB0  Úplná malièkos
FA597D0E  Vylez...
BF690636  ...vylez
55CD2D90  Jednotka
5634ACFB  Preteky
8BB55F20  Pálenie foákom
35353791  Demolovanie...
9B7A80EA  Holandská hra
FC59BF1B  Priate¾skı t...
836E6D5A  Interview...
3BD2404B  ...interview
92C81A4C  Holandské noci
728FD870  Lákanie
61173927  Pokrvní bratia
9B1C2C1C  Pohrebná sluba
0DF58BB5  Kde je pravda?
08A9803D  Portrét vraha
25983D4A  Neutralizácia
5A172593  Papierová stopa
DB7134E1  Závis v prí...
D75E2B5B  Škoda odpadu
3990F620  Trojlístok
0F9D2311  Vo¾nı pád
C051812F  Prehrabávani...
007E8294  Tavenie
AF5F013A  Vıstavnı kúsok
32B108C0  Nekoneèné metro
CED1BE63  Neskoré zistenie
53B64906  Èiny hovoria...
D591A2AA  Vezmem si tv...
8304FE96  Skúšobná...
CF394715  ...skúšobná
4550B462  Pokojná prep...
79E41A18  Diamant, naj...
BF21A5B2  Stopovanie
E94508CC  Opatrovanie
2B958EC4  Tunel smrti
6D3A8E95  Protivní pro...
95FAE0FD  Smer Union D...
289002C1  Ahojky, bójky
638179C3  Chy si vlnu
40CF77FB  Prvotriedny...
6A924BA8  Preš¾ap
8F371619  Prepad dodávky
1CACB21E  ivot za Ald...
E5CD98A1  Pegorinova h...
15D479E6  Odplata
6DD82B08  Blízko smrti
60EE9265  Hubenie škodcov
24AB6E78  Sprievod
51084611  Jedlo vonku
461024B7  Likvidovanie...
5D1ED434  Za správnu cenu
B65B8794  Studenı chod
38608C4C  Pán a pani B...
6A636855  Bez komisie
7030754F  Pomstite¾ská...
3F5494DC  Prvé rande
FEBA59B9  THIS LABEL NEEDS TO BE HERE !!!
188A5BE0  Prúd misií zahájenı. Kontaktnı bod / telefón príde za pár sekúnd.
19B1760C  Placeholder
DE6C77AC  Placeholder - „S“ pre úspech, „F“ pre neúspech.
F46EA9B2  Zaèa hru misiou „Turné“.
51D0F039  Hráè dostane základné šaty.
0B0DA07A  Hráè dostane priliehavé šaty.
8D6E98FC  Hráè dostane oblek.
0878E947  Hráè dostane zimnı kabát.
B9D900EA  Hráè dostane klasické, elegantné šaty.
AFE60934  Hráè dostane lyiarske obleèenie.
A8D88778  Hráè dostane koenú bundu.
EFF8A1A7  Hráè dostane chudácke obleèenie. Hráè dostane motorkárske obleèenie.
F19F088B  Hráè dostane koenú vestu.
5C702086  Vypnú/zapnú èiapku.
7C0AB93A  Swap to GAME flow mode.
8073B5EF  Swap to DEBUG play mode.
25B167FB  Play mode now DEBUG MODE.
F87CDB6C  Play mode now GAME MODE.
45B42E86  Magazine Demo setup.
CDF080EC  Time Lapse Effect Enabled.
0D37FF7A  Time Lapse Effect Disabled.
FB535BB1  Recording Mode Enabled.
A884B615  Recording Mode Disabled.
289A363E  Press H to start camera pan.
16CC92A3  Car Density increased by 0.1
3182C80F  Car Density decreased by 0.1
E06825DB  Max Car density reached
5FCBA4A0  Min Car density reached
C88B7B76  Ped Density increased by 0.1
B765D92B  Ped Density decreased by 0.1
4D0F047B  Max Ped density reached
957E95F1  Min Ped density reached
A6B3B85B  All Vehicle Damage Enabled
EBD5429D  All Vehicle Damage Disabled
1CD97A02  0 Train
3321A692  1 Coney Island
B7A4AF8A  2 Brooklyn Cars Driving Down Street
C5844B49  3 Ferry Port Shot
D449E8D4  4 Time Lapse Liberteens
EA2814A0  5 Time Lapse Cathedral
54DFEA06  6 Pan Statue Of Liberty
6BDC17FE  7 Pan Past ESB
79E6B413  8 Pan Past Top Of Chrysler
9EACFF13  9 Pan Past Flatiron
A89412E1  10 Time Ticker Tape
BA51B65C  11 Pan Chrysler / Getalife
5C7BFA9E  12 Looking Up Towards Time Square
67CA113A  13 Bank Glass Dome
78A9B2F9  14 Brooklyn Docks Warehouse
8A6B567C  15 Times Square Static
052E4C04  16 Times Square Panning Right
0FF06188  17 Times Square Static Looking Down onto Pavement
21A204EB  18 Manhattan Bridge Tracking Shot
D9DE763D  19 Pan Around Niko In Grave Yard
F377A97F  20 Platypus Ship At End
E5920DB4  21 Niko Walking Along Brooklyn Bridge
A71F109F  22 Final Shot of Manhattan Skyline
B8D7B410  23 ALTERNATE for Shot 15 "Times Square Static"
AB96C3C0  Time Lapse Increment changed to ~1~ "minutes" per frame..
A21CDC9A  Feltzer Colour ~1~ and Specular ~1~
5B8E49E1  Motion Blurring Enabled for next replay
181C03CF  Motion Blurring Disabled for next replay
35C3A597  Motion Blur Value now at ~1~
B92E2BD0  0 IVtrailerCanopyFall
0671C656  1 IVtrailerScaffolding
14B462DB  2 IVtrailerBrokerHighFall
EFC018F3  3 IVtrailerPhysicsPipes
F5FD256D  4 IVtrailerRyansPipes
D04AD9D9  5 IVtrailerTumbleDownCliff
D591E467  6 IVtrailerSkyScraperDrop
B2619E07  7 IVtrailerGroupFighting
C0AB3A9A  8 IVtrailerLandOnMovingCar
23428307  9 IVtrailerEndOfBeatUpAlbanians
5817ECB1  10 IVtrailerGroupFighting 2
7C1134A3  11 IVtrailerGroupFighting 3
69F79070  12 IVtrailerGroupFighting 4
A041FD04  13 IVtrailerGroupFighting 5
413572D7  ~S~Press RETURN to trigger and H to restart.
4BF71EDC  Cloudy
CB4C9D85  Drizzle
CD8EA209  Extra Colours 1
DEF844DC  Extra Colours 2
F1156916  Extra Sunny
3035E6FE  Foggy Thick
BDEA8269  Foggy
D0D0A835  Last
E2AD4BEE  Rain
E1CDCB77  Snow
D00BA7F3  Stormy
8620941E  Sunny Windy
F487F0EB  Sunny
CFC1EF82  Elapsed Time: ~1~
725934B2  Velocity After 1 second: ~1~ (Should be -9.81ms^2)
6017902F  Variance = ~1~
2959DCD5  ~r~HANDBRAKE PRESSED.
DFD7CA0E  ~b~BRAKE PRESSED.
F21B6E95  ~r~HANDBRAKE PRESSED ~s~+ ~b~BRAKE PRESSED.
9C0363F4  Missions
950809F4  Grand Theft Auto IV - Rockstar North 01/14/08
26C408D0  Jamaican Heat
3E7E8219  Jacob's Ladder
5E3CB232  Harboring a Grudge
1C787A9A  To Live And Die In Alderney
0CD4C791  ROMAN
1A92630C  VLAD
07A43D30  MICHELE
D5405865  JACOB
7CFFA7E1  FAUSTIN
376C9CC0  MANNY
76345AC4  ELIZBETA
4543386D  DWAYNE
C1FB31D7  BRUCIE
7973C1BA  PLAYBOY
8B216515  KATE
67D81E83  FRANCIS
6A602393  CIA
C6C65C5E  PACKIE
9121F122  RAY
EB46A55E  GERRY
000BCEE8  DERRICK
BB71449C  G20
E9302019  BERNIE
25349825  BELL
04B4D722  JIMMY
326DB297  GAMBETI
6FCC2D5F  EXPORTS
62F6A6BA  F1: Roman
EB6A292F  C2: Vlad
0FBD0AA2  G3: Michelle
C642696A  F4: Little Jacob
AE5C3ACA  C5: Faustin
DC207A33  C7 / C7b: Manny / Elizabeta
880E50C0  F8: Dwayne Forge
A30786B2  F9: Brucie
AC09F110  C10: Playboy X
8D05305E  G11: Kate Mcreary
97C4D528  C12: Francis Mcreary
A152E844  C13: CIA
15685366  F15: Packie Mcreary
D983CC2F  C16: Ray Boccino
0F6CE879  C18: Gerry Mcreary
4BF16181  C19: Derrick Mcreary
A706E064  Girl 20
B6DF54FD  C21: Bernie Crane
11B0F446  C22: Bell
FFD6508D  C25: Gambetti
D8319E12  host: Exotic Exports
9A0CAA8E  C24: Jimmy Pegorino
0A6325DB  Trailer
74687EEA  Trailer2 Natural Motion
F80B2EDC  Trailer2 Heli Natural Motion
D8386279  Trailer2 Petrol Station Explosion
C197977C  Trailer2 Head Look
44B17A89  Mission Passed
B99E3F6D  Mission Failed
4D544A56  Menu Options
D8D74CAF  Level 1
E698E832  Level 2
B82A0B55  Level 3a
35E506CD  Level 3b
464F27A1  Level 4
A0BADC77  Level 5
AEE378C8  Level 6
4407A31A  Level 7, 8, 9
F69822A4  Level 1, 2
4BDECD30  Level 3, 4a
FEBE32F4  Level 4b, 5
53F4DD60  Level 6, 7
0B26CBC5  Level 8, 9
F0EF9757  Friend Acts
ABBD0CEF  Non-Mission
B94EA812  Testbeds
FFAB05DD  Contacts B
78CAF81B  Contacts C D E
6B075C94  Contacts F G
563D3300  Contacts J K L P
B2B3EBEC  Contacts R V
A3EE4E61  Friend Acts
8E3922F7  Non-Mission
7D7A817A  Testbeds
799F301F  Strands
08CB0818  Player Clothes
C0839487  Activities
A75B1CDF  Shops (warps)
386C456D  Amb/Obj 1 (warps)
E63120F8  Amb/Obj 2 (warps)
46AB0CE6  Stunt Jumps 1
3177E2A0  Stunt Jumps 2
A6A54562  Random Chars
6CE805AC  NY Marketing
B6D6A6AC  Display Missions in LEVEL ORDER
AE6949D5  Display Missions in ROUGH PLAYING ORDER
E75FCC56  Display Missions in BUGSTAR ORDER
FAF01773  Switch to Demo Menu
4F485502  Switch to Main Menu
B290B983  Airport Ambience (warp)
B94CE227  Docks Ambience (warp)
74A6E77E  Stunt Jump 1
6769CD04  Stunt Jump 2
58182E61  Stunt Jump 3
49C611BD  Stunt Jump 4 (2 jumps)
3B6B7508  Stunt Jump 5
2E845B3A  Stunt Jump 6
1F2EBC8F  Stunt Jump 7
146CA707  Stunt Jump 8
06B68B9B  Stunt Jump 9
F8FE702B  Stunt Jump 10
EB53D4D6  Stunt Jump 11
DBB13591  Stunt Jump 12
CCEF180D  Stunt Jump 13
BF7B7D26  Stunt Jump 14 (2 jumps)
923A22A4  Stunt Jump 15
EFBEDDA0  Stunt Jump 16
C1FF8222  Stunt Jump 17
B40EE641  Stunt Jump 18
A654CACD  Stunt Jump 19
967B2B1A  Stunt Jump 20
88B98F97  Stunt Jump 21
7B5D74DF  Stunt Jump 22
6D9F5963  Stunt Jump 23
6215424B  Stunt Jump 24
545EA6DE  Stunt Jump 25
46898B34  Stunt Jump 26
6F0C72E5  Stunt Jump 27
CFB8B7A0  Stunt Jump 28
8D183140  Stunt Jump 29
4897A29C  Stunt Jump 30
4FBBAFC4  Stunt Jump 31
0CC1AD61  Stunt Jump 32
D4F73C79  Stunt Jump 33
E6FA6CE3  Stunt Jump 34
D9B55139  Stunt Jump 35
3939939C  Stunt Jump 36
366D0CE3  Stunt Jump 37
3014FA97  Stunt Jump 38
2CDEF30B  Stunt Jump 39
A5DD6866  Stunt Jump 40
8554A635  Stunt Jump 41
208622A2  Stunt Jump 42
064BEF86  Stunt Jump 43
34794844  Stunt Jump 44
37B9CFCD  Stunt Jump 45
F2BAC2AC  Stunt Jump 46
37B94D80  Stunt Jump 47
F3B9426D  Stunt Jump 48
39DEEF44  Marketing Camera (rockstarcamera.sc)
6DE182F2  Create Stallion (for Trailer)
A053BDA2  End Credits (endCreditRoll.sc - BBC)
D7D4874B  Switch to default player model
10A9E79C  Switch to next player model
6EEBA4B5  Brian_1.sc - LK (warp)
8248CB6F  Brian_2.sc - LK (warp)
24C7106D  Brian_3.sc - LK (warp)
D08D6D0D  Jeff_1.sc - LK (warp)
BEFFC9F2  Jeff_2.sc - LK (warp)
B310B214  Jeff_3.sc - LK (warp)
F3B092F0  Ivan_1.sc - LK(warp)
40B4E72B  Hossan_1.sc - LK(warp)
51142141  badman_1.sc - LK(warp)
C3473AA4  Sara_1.sc - LK(warp)
E4F3B442  Clarence.sc - Guy from Harlem - DBr (warp)
0074C204  Gracie.sc - Mobster's Daughter - DBr (warp)
A1C728E8  Ilyena.sc - Ilyena Faustin - DBr (warp)
F6DAD434  Marnie1.sc - DBr (warp)
2D784142  Marnie2.sc - DBr (warp)
1E338991  Eddie1.sc - Eddie Low 1 - DBr (warp)
E4EA170B  Eddie2.sc - Eddie Low 2 - DBr (warp)
4E9F088C  Mel.sc - Drunk Guy from Vlad first Scene - DBr (warp)
279B60A0  Pathos1.sc - DBr (warp)
1961C42D  Pathos2.sc - DBr (warp)
D18A7BEC  Cherise.sc - Dwayne Forge's Ex-Girlfriend - DBr (warp)
78794C54  Sara2.sc - DBr (warp)
86BA726E  >> Roman Friend Activities (testbed)
B06B49E1  >> Roman Special Ability (testbed)
F4839AC8  >> Little Jacob Friend Activities (testbed)
34683603  >> Little Jacob Special Ability (testbed)
C6278432  >> Dwayne Friend Activities (testbed)
AE84BE16  >> Dwayne Special Ability (testbed)
E5FA3087  >> Brucie Friend Activities (testbed)
AF9A6C3C  >> Brucie Special Ability (testbed)
8C89E4D0  >> Packie Friend Activities (testbed)
3098F8D9  >> Packie Special Ability (testbed)
14F78BF0  >> Gerry 'Kidnap Daughter' sequence (testbed)
5278D5FC  >> Francis 'Final Interview' sequence (testbed)
39DB3AE9  >> Brucie 'Out of the Closet' sequence (testbed)
377258E1  direction_test.sc (BBC)
FFE1A346  Natural Motion Demo (NatMotion.sc - RW)
747FE1D0  Bus Route 1 (BusRoute1.sc - BBC)
A7935C4E  Audio Anim Test (Gesture System)
4F3861BA  Funeral - with Francis Dead (Francis6.sc - NF)
3BA18847  Funeral - with Derrick Dead (Francis6.sc - NF)
3B8F078A  Melee Test (Melee_Test.sc - PG)
9978380B  Car Wash Object (Chris M)
2E713F64  Ambient Nightclub + Security Cameras (Kev W)(7pm- 5am)
1D27602C  Ambient Security Cam (Dave B)
F76A33A1  Ambient Taxi Rank (Brenda)
81B00DFB  Ambient ATM Queue / ATM Thief(-Y-) (Brenda)
1ACE4B86  Telescope (Brenda)
AB37E8EC  Tollbooth Object (Chris M)
88FBA087  Create nearby taxi and driver
3B48C520  Prostitutes (warp + some luck)
DD098F7C  Ambient Peds Taxi Hailing (Brenda)
F82BBF8D  Player sitting on a bench (Brenda)
E65876D5  S.W.A.T. anim demo (Simon L)
4C66A06E  Physics Testbed (Brenda C)
DE725962  FoodShop Launcher (Eugene K)
1C2BDE6A  Clothes Shop (Neil F)
2C20395D  ZIP (Alwyn)
0BFCB8D9  Didiersachs (Alwyn)
B1C454BD  Hoves beach clothes shop (Binco - Brook S (Alwyn))
70EC8EC2  First Swank Clothes shop (Perseus - Manhat 8 (Alwyn))
B5909811  Second Swank Clothes shop (Perseus - Manhat 1 (Alwyn))
1C975E51  Medium Clothes shop (Mono - Manhattan 5 (Alwyn))
6B4F7B6B  Gun Shop 1 (Dave Bruce)
398917DF  Gun Shop 2 (Dave Bruce)
718907E2  Gun Shop 3 (Dave Bruce)
FA69DBBB  Wardrobe - Brooklyn Safehouse (Alwyn)
161018C7  Wardrobe - Bronx Safehouse (Alwyn)
05FF9DFD  Wardrobe - Manhattan Safehouse (Alwyn)
5755F4DA  Wardrobe - New Jersey Safehouse (Alwyn)
46B08A16  Wardrobe - Playboy X Safehouse (Alwyn)
0462A338  Amb. Floaters (Chris M)
415C1EE7  Amb. Bridge Patrol (Chris M)
0250E3AE  Amb. Tunnel Cops (Chris M)
DBFB94F9  Amb. Food Stand (Brenda)
FEC4537F  Amb. Magazine Stand (Brenda)
A3282F3B  Amb. Strip Club (Chris M)
5D5CF5C4  Amb. Strip Club Alderney (Chris M)
943397DE  Amb. Comedy Club (Rob)
7BE0260D  Amb. Bar (Chris M)
999DDD15  Amb. Underground Carpark (Chris M)
6401B1F8  Amb. Carpark (Chris M)
3855FB42  Gas Station, Westdyke, Alderney
4030F732  Gas Station, Tudor, Alderney
964DAAD2  Gas Station, Hove Beach, Broker
829DB631  Car Wash, Westdyke, Alderney (Chris M)
AF698FAA  Car Wash, Tudor, Alderney (Chris M)
BFE504B9  Car Wash, Beechwood City, Broker (Chris M)
AC887888  Car Wash, The Meat Quarter, Algonquin (Chris M)
04B713B2  Gas Station, The Meat Quarter, Algonquin (Chris M)
80615FEC  Car Wash, Purgatory, Algonquin (Chris M)
C6C89289  Sprunk Machine (Brenda)
6D3711C0  Nut Vendor (Brenda)
F26A8268  Burger Vendor (Brenda)
7E526806  Hotdog Vendor (Brenda)
F39AB64C  Empire State Telescope (Brenda)
7BF7BB6A  ATM (Brenda)
0994E814  Magazine Vendor (Brenda)
1F63FF5B  Car Theft Text Garage (Dave Br)
E1BE0FA0  Cabaret Club (Dave Br)
BB40D6C9  PS3 test script (Jim M)
BCC569AB  Car AI Demo (Neil F)
56178295  (Kill Pegorino or Dimitri - (Finale2 (RW)))
29F62FCC  TV in Romans Flat (Dave Br)
17698AB3  TV in East Manhattan safehouse (Dave Br)
452BE637  TV in Jersey safehouse (Dave Br)
F0E13D9B  TV in PlayboyX safehouse (Dave Br)
70F1BDC2  TV in Bronx safehouse (Dave Br)
D50FE621  Hotwiring Help (hotwireHelp.sc - KM)
AD6E09D7  Deatharrest Help (deatharrestHelp.sc - KM)
CB73AEDC  Dwayne Friends By Email (DwayneEmail.sc - KM)
B90A9C45  (???)
4E2D2024  T:
D53DA749  TRUST
AA1C8D48  L:
39F101C7  LIKE
C645369D  Lv:
A813A994  P:
F40ABC92  (~1~)
1E720953  ~1~
5D698428  Player:
23B53B56  (C)
2C2D078E  (H)
FD081EDB  Special Ability
861D7259  When Available?
8854FF4B  Available Now?
D92A916B  Real-time Next Call
38E5F660  ~1~ secs
E5ECD4CB  Real-time Contact Expiry
148B3543  ~1~ secs
0670E20A  Game-time Late Expiry
1875F00C  ~1~ mins
BACCAD10  Late Timer Expired?
26871C63  Game-time Setup Expiry
9F7F20B5  ~1~ mins
627242F3  Contact Timer Expired?
FD21EEB7  Sleeping Times
31DCD5BF  Never
147727B5  ~1~:00 - ~1~:00
616BFA40  Is Asleep?
385D2188  Yes - multiple
C2AE7E4D  Yes
FC8C0D3F  No
2978570A  Taxi
62E188EC  Gun Car
371A2729  Backup
A4F984F6  Heli
7CB7C118  Bomb
8D6801DC  YES
F3DCCBB2  No. Need Like + ~1~
2EE5D31B  When LIKE >= ~1~
3B330AD1  When LIKE >= ~1~
29F2BEAD  When LIKE >= ~1~
12AB893B  When LIKE >= ~1~
8FFE2FE6  When LIKE >= ~1~
DDF3842C  Real-Time Hospital Call
C6805042  ~1~ secs
ED4CF1C0  Game-time Pickup Expiry
EBAAEB58  ~1~ mins
2808C721  Calls Ignored By Player
8D97923D  ~1~ calls (10 quits)
C26E1932  Press F12 to start/stop editing
ACFFA7A4  *** ERROR ***
A1EA207D  n/a
032DB533  --deactivated--
093C630E  STRAND PAUSED (gametime: ~1~ mins)
0B93DB99  STRAND PAUSED (radius: ~1~ metres to go)
A0C0BC81  STRAND PAUSED BY MISSION FLOW
657F7CB4  ~1~
8F34A661  F
8C26D1F2  S
1A7301D9  H
EBEECC14  P
BF15849E  Q
8E9A68E7  C
A7EC663F  Game Setup
54018EB2  Remove Procedural Mission (when inactive)
9985D4EA  Create Cellphone
1F10C8BC  Add To Phonebook
E368F998  Remove From Phonebook
055E9E6B  Add Silently To Phonebook
780B9518  Set Answer Phone
08EC1648  Set Other Answer Phone
5FA40C52  Player Phone For Job
02E9101C  Force Player Phonecall (~1~ secs) - ~1~
3FA22987  Phone Player (~1~ secs) - ~1~
B7923C95  Phone Player FlagCheck (~1~ secs) - ~1~
0F15843B  Phone Player Repeat (~1~ secs) - ~1~
58DF17CD  Phone Player Vector (~1~ secs) - ~1~
2446DAA5  Phone Player Vector Repeat (~1~ secs) - ~1~
71C63034  Phone Player Time Repeat: (~1~ secs) - ~1~
C829E2FC  Phone Player Time Repeat: (~1~.00 - ~1~.00)
493024D6  Phone Player Distance Restricted (~1~m) - ~1~m
2B0A5FB4  One-Off Phone Player (~1~ secs) - ~1~
D74C6CB8  One-Off Phone Player Repeat (~1~ secs) - ~1~
C843FEE9  One-Off Phone Player Repeat FlagCheck (~1~ secs) - ~1~
E7508CB8  One-Off Phone Player Vector (~1~ secs) - ~1~
FCB1E674  One-Off Phone Player Vector Repeat (~1~ secs) - ~1~
96C36BF3  One-Off Phone Player Time: (~1~ secs) - ~1~
BBE4E71F  One-Off Phone Player Time: (~1~.00 - ~1~.00)
4907CC3F  One-Off Phone Player Time Vector (~1~ secs) - ~1~
A6DA102B  One-Off Phone Player Time Vector: (~1~.00 - ~1~.00)
D95EDED6  Setup Ambient Phonecall
4CE226C7  Kill Ambient Phonecall
3C04FF18  EOM Phonecall Wall
D11BA48C  TxtMsg Player - Ambient
510CCD51  TxtMsg Player - Wait Till Sent - ~1~
78360A5F  Gametime Delay (~1~ mins) - ~1~
82589CF1  Gametime Wall (pass between ~1~.00 and ~1~.00)
F9AFE00D  Realtime Delay (~1~ secs) - ~1~
E4D164FC  Distance Wall (~1~) - ~1~m
120241D1  Add Friend Activity
782E11B2  Allow Friend Acts
4E472E5B  Disallow Friend Acts
D525D16C  Add Special Ability
338F1919  Allow Special Ability
989E0DC4  Disallow Special Ability
8EA2C787  Pause Strand
BCD227C5  Unpause Strand
CBFF0A37  Pause Strand Extras
000D4165  Unpause Strand Extras
111233EC  Allow Hospital Pickup
FA1C322C  Activate Map Area: ~1~
842ECCB5  Map Area Wall: ~1~
A9D20529  Activate Save House
7E0858CD  Deactivate Save House
D05B430B  Set Trust Stat to ~1~
85AA2D9E  Set Like Stat to ~1~
1E685F1C  Set Psycho Stat to ~1~
82DE2CDA  Stat Boost (probably for LIKE)
98C76CAB  Stat Wall: Trust(~1~) >= ~1~
06AC4877  Stat Wall: Like(~1~) >= ~1~
43C242A2  Stat Wall: Psycho(~1~) >= ~1~
26A70860  Stat Wall (and)
61877E2C  Stat Wall (or)
7996A722  Check Trust Stat (~1~) >= ~1~ (failgoto)
CBC9CB87  Check Like Stat (~1~) >= ~1~ (failgoto)
408F3514  Check Psycho Stat (~1~) >= ~1~ (failgoto)
4BE1F999  Set Missions Level to ~1~
4756E112  Missions Level Wall: Level (~1~) >= ~1~
F56E424A  Check Missions Level (~1~) >= ~1~ (failgoto)
13A2486D  Activate
1D72F803  Strand Active? (passgoto)
359CA017  Await Deactivation:
6FAE9F4E  Send Sync to
E1600487  Await Sync from
03D9E5E5  Activate Random Interaction Character
0C7F37E7  Give Weapon
7820295D  Set Mission Flow Flag
3C5A5E1B  Clear Mission Flow Flag
EB55015E  Play Cutscene
50803EC8  Mission Flow Flag Wall
DA2C5582  Autosave Wall
C87F3494  Mission Flow Flag Check FailGoto
BA31E69A  Label
C3F226CE  Goto
99162447  Gosub
E69FEC11  Return From Gosub
8988C6CB  Display Help Text
12C0CFC5  Print Now
9F406DD6  Kill A Strand
AC9FC041  Keep Strand Active
1D93C465  Terminate Strand
212B9EEF  IsDemo Check (failgoto)
732CE549  End Demo Pause - Flow Halted
6BCCF40D  End Strand (final command)
5E3063AC  Writing PLAYERS coordinates to file X:\GTA\GTA_PC\TEMP_DEBUG.TXT
4167AA1B  Writing data to file X:\GTA\GTA_PC\TEMP_DEBUG.TXT
BF78287C  Hold ~PAD_A~ for 2 seconds to warp into Save House.
7C3021E9  Hold ~PAD_A~ for 2 seconds to warp out of Save House.
9AF9944E  Can't Record. Player not playing.
DD651924  Can't Record. Player not in vehicle.
6DD42ADA  Can't Record. Vehicle dead.
C73BF14D  Can't Record. Vehicle already being recorded. Try again.
2E176B99  Car Recording in Progress.
04481233  Car Recording Ended.
0D1599DD  Car Recording Cancelled. Player not playing.
BFC27F44  Car Recording Cancelled. Player not in vehicle.
2BA1D646  Car Recording Cancelled. Vehicle dead.
A0A240F8  Car Recording Cancelled. Vehicle isn't being recorded.
1AA56B3C  NONE
5D9B01E3  >>>
69B78880  ------------------
56267A41  Navigate <UP, DOWN, LEFT, RIGHT> Select <A/RETURN> Quit <'M'>
176A79F5  Missions listed in ROUGH PLAYING ORDER
11696297  Missions listed in LEVEL ORDER
6040B9A6  Missions listed in BUGSTAR ORDER
C822503D  ~s~Placeholder for cutscene.
D96818E6  ~s~Lets get to the park!
0E44829E  ~s~I've missed this place!
